LEAID,LEANAME,Total_Sites,LEA_Enrollment,Total_Sites_CEP,Total_Students_CEP,District_ISP,All_Sites,Some_sites,school_year,CEP_treat,CEP_year,first_treat_year
3613001,MCMINNVILLE SD 40,9,6345,5,2557,NA,NA,S,2020-2021,1,2020,2014
3613001,MCMINNVILLE SD 40,9,6785,5,2541,NA,NA,S,2018-2019,1,2018,2014
3613001,MCMINNVILLE SD 40,9,6696,5,2447,NA,NA,S,2019-2020,1,2019,2014
1513001,MEDFORD SD 549C,21,11606,19,12097,NA,NA,S,2020-2021,1,2020,2014
1513001,MEDFORD SD 549C,21,12807,12,5860,NA,NA,S,2017-2018,1,2017,2014
1513001,MEDFORD SD 549C,21,12784,12,5802,NA,NA,S,2018-2019,1,2018,2014
1513001,MEDFORD SD 549C,21,12840,12,5767,NA,NA,S,2019-2020,1,2019,2014
1513001,MEDFORD SD 549C,20,12393,12,5550,NA,NA,S,2014-2015,1,2014,2014
1513001,MEDFORD SD 549C,21,12455,12,5550,NA,NA,S,2016-2017,1,2016,2014
1513001,MEDFORD SD 549C,21,12631,12,5550,NA,NA,S,2015-2016,1,2015,2014
3013001,MILTON-FREEWATER SD 7,5,1808,5,1808,0.4641,A,NA,2017-2018,1,2017,2017
3013001,MILTON-FREEWATER SD 7,4,1239,4,1239,0.4641,A,NA,2018-2019,1,2018,2017
3013001,MILTON-FREEWATER SD 7,3,1442,3,1442,0.4641,A,NA,2019-2020,1,2019,2017
3013001,MILTON-FREEWATER UNIFIED SD 7,4,1607,4,1470,0.4641,A,NA,2020-2021,1,2020,2020
2513001,MORROW SD 1,9,2213,9,2352,0.4209,A,NA,2020-2021,1,2020,2017
2513001,MORROW SD 1,9,2374,5,1255,NA,NA,S,2018-2019,1,2018,2017
2513001,MORROW SD 1,9,2338,5,1208,NA,NA,S,2019-2020,1,2019,2017
2513001,MORROW SD 1,9,2234,3,675,NA,NA,S,2017-2018,1,2017,2017
2613006,MT. SCOTT LEARNING CENTER,1,128,1,128,0.6094,A,NA,2014-2015,1,2014,2014
2613006,MT. SCOTT LEARNING CENTER,1,128,1,128,0.6094,A,NA,2015-2016,1,2015,2014
2613006,MT. SCOTT LEARNING CENTER,1,128,1,128,0.6094,A,NA,2016-2017,1,2016,2014
2613006,MT. SCOTT LEARNING CENTER,1,160,1,160,0.5625,A,NA,2017-2018,1,2017,2014
2613006,MT. SCOTT LEARNING CENTER,1,160,1,160,0.3766,A,NA,2018-2019,1,2018,2014
2613006,MT. SCOTT LEARNING CENTER,1,152,1,152,0.406,A,NA,2019-2020,1,2019,2014
2613006,MT. SCOTT LEARNING CENTER,1,133,1,133,0.406,A,NA,2020-2021,1,2020,2014
613002,MYRTLE POINT SD 41,2,578,2,641,NA,A,NA,2015-2016,1,2015,2014
613002,MYRTLE POINT SD 41,2,496,2,535,NA,A,NA,2020-2021,1,2020,2014
613002,MYRTLE POINT SD 41,2,617,2,641,NA,A,NA,2014-2015,1,2014,2014
613002,MYRTLE POINT SD 41,2,568,2,571,NA,A,NA,2016-2017,1,2016,2014
613002,MYRTLE POINT SD 41,2,594,2,594,NA,A,NA,2017-2018,1,2017,2014
613002,MYRTLE POINT SD 41,2,556,2,556,NA,A,NA,2018-2019,1,2018,2014
613002,MYRTLE POINT SD 41,2,539,2,539,NA,A,NA,2019-2020,1,2019,2014
2614007,NATIVE AMERICAN YOUTH AND FAMILY CENTER,1,91,1,91,0.6593,A,NA,2014-2015,1,2014,2014
2614007,NATIVE AMERICAN YOUTH AND FAMILY CENTER,1,91,1,91,0.6593,A,NA,2015-2016,1,2015,2014
2614007,NATIVE AMERICAN YOUTH AND FAMILY CENTER,1,91,1,91,0.6593,A,NA,2016-2017,1,2016,2014
2614007,NATIVE AMERICAN YOUTH AND FAMILY CENTER,1,60,1,60,0.6593,A,NA,2017-2018,1,2017,2014
2614007,NATIVE AMERICAN YOUTH AND FAMILY CENTER,1,53,1,53,0.6296,A,NA,2018-2019,1,2018,2014
2614007,NATIVE AMERICAN YOUTH AND FAMILY CENTER,1,63,1,63,0.6296,A,NA,2019-2020,1,2019,2014
2614007,NATIVE AMERICAN YOUTH AND FAMILY CENTER,1,54,1,54,0.6296,A,NA,2020-2021,1,2020,2014
2914002,NESTUCCA VALLEY SD 101J,2,455,2,486,0.428,A,NA,2020-2021,1,2020,2018
2914002,NESTUCCA VALLEY SD 101J,2,444,1,232,NA,NA,S,2018-2019,1,2018,2018
2914002,NESTUCCA VALLEY SD 101J,2,505,1,260,NA,NA,S,2019-2020,1,2019,2018
2014003,NETWORK CHARTER SCHOOL,1,108,1,108,0.6574,A,NA,2015-2016,1,2015,2015
2014003,NETWORK CHARTER SCHOOL,1,108,1,108,0.6574,A,NA,2016-2017,1,2016,2015
2014003,NETWORK CHARTER SCHOOL,1,118,1,118,0.6574,A,NA,2017-2018,1,2017,2015
2014003,NETWORK CHARTER SCHOOL,1,120,1,120,0.5728,A,NA,2018-2019,1,2018,2015
2014003,NETWORK CHARTER SCHOOL,1,116,1,116,0.4649,A,NA,2019-2020,1,2019,2015
2014003,NETWORK CHARTER SCHOOL,1,115,1,115,0.4435,A,NA,2020-2021,1,2020,2015
3614001,NEWBERG SD 29J,10,5182,3,1004,NA,NA,S,2017-2018,1,2017,2014
3614001,NEWBERG SD 29J,10,5112,3,895,NA,NA,S,2014-2015,1,2014,2014
3614001,NEWBERG SD 29J,10,5171,3,895,NA,NA,S,2015-2016,1,2015,2014
3614001,NEWBERG SD 29J,10,5196,3,895,NA,NA,S,2016-2017,1,2016,2014
3614001,NEWBERG SD 29J,10,4432,2,717,NA,NA,S,2020-2021,1,2020,2014
3614001,NEWBERG SD 29J,10,5100,2,714,NA,NA,S,2018-2019,1,2018,2014
3614001,NEWBERG SD 29J,10,4886,2,680,NA,NA,S,2019-2020,1,2019,2014
614001,NORTH BEND SD 13,4,2180,3,1495,NA,NA,S,2020-2021,1,2020,2020
314001,NORTH CLACKAMAS SD 12,30,14686,6,2306,NA,NA,S,2020-2021,1,2020,2014
314001,NORTH CLACKAMAS SD 12,29,16221,3,894,NA,NA,S,2019-2020,1,2019,2014
314001,NORTH CLACKAMAS SD 12,29,16123,2,631,NA,NA,S,2016-2017,1,2016,2014
314001,NORTH CLACKAMAS SD 12,29,16402,2,633,NA,NA,S,2017-2018,1,2017,2014
314001,NORTH CLACKAMAS SD 12,29,16267,2,603,NA,NA,S,2018-2019,1,2018,2014
314001,NORTH CLACKAMAS SD 12,29,15994,1,480,NA,NA,S,2014-2015,1,2014,2014
314001,NORTH CLACKAMAS SD 12,29,16125,1,480,NA,NA,S,2015-2016,1,2015,2014
1014001,NORTH DOUGLAS SD 22,2,319,2,364,0.4396,A,NA,2020-2021,1,2020,2019
1014001,NORTH DOUGLAS SD 22,2,353,2,353,0.4396,A,NA,2019-2020,1,2019,2019
3314003,NORTH WASCO CO. SD,6,2779,5,2012,NA,NA,S,2018-2019,1,2018,2017
3314003,NORTH WASCO CO. SD,6,2848,5,2040,NA,NA,S,2019-2020,1,2019,2017
3314003,NORTH WASCO CO. SD,6,2757,5,1964,NA,NA,S,2017-2018,1,2017,2017
3314003,NORTH WASCO COUNTY SD 21,7,2499,6,2669,NA,NA,S,2020-2021,1,2020,2014
3314003,NORTH WASCO COUNTY SD 21,6,2842,5,1943,NA,NA,S,2016-2017,1,2016,2014
3314003,NORTH WASCO COUNTY SD 21,6,2852,5,1943,NA,NA,S,2015-2016,1,2015,2014
3314003,NORTH WASCO COUNTY SD 21,8,2964,5,1943,NA,NA,S,2014-2015,1,2014,2014
2314001,NYSSA SD 26,4,1142,4,1142,0.6068,A,NA,2017-2018,1,2017,2014
2314001,NYSSA SD 26,4,1192,4,1192,0.667,A,NA,2018-2019,1,2018,2014
2314001,NYSSA SD 26,4,1197,4,1197,0.667,A,NA,2019-2020,1,2019,2014
2314001,NYSSA SD 26,4,1135,3,1114,0.6068,NA,S,2016-2017,1,2016,2014
2314001,NYSSA SD 26,4,1180,4,1149,0.667,A,NA,2020-2021,1,2020,2014
2314001,NYSSA SD 26,4,1147,3,1114,0.6068,NA,S,2015-2016,1,2015,2014
2314001,NYSSA SD 26,3,1150,3,1114,0.6068,A,NA,2014-2015,1,2014,2014
2015001,OAKRIDGE SD 76,3,369,3,551,0.5154,A,NA,2020-2021,1,2020,2016
2015001,OAKRIDGE SD 76,4,779,4,779,NA,A,NA,2019-2020,1,2019,2016
2015001,OAKRIDGE SD 76,4,391,1,307,NA,NA,S,2016-2017,1,2016,2016
2015001,OAKRIDGE SD 76,3,561,1,325,NA,NA,S,2018-2019,1,2018,2016
2015001,OAKRIDGE SD 76,3,555,1,314,NA,NA,S,2017-2018,1,2017,2016
2315001,ONTARIO SD 8C,7,2263,6,1666,NA,NA,S,2020-2021,1,2020,2014
2315001,ONTARIO SD 8C,7,2357,6,1710,NA,NA,S,2015-2016,1,2015,2014
2315001,ONTARIO SD 8C,7,2387,6,1710,NA,NA,S,2016-2017,1,2016,2014
2315001,ONTARIO SD 8C,7,2403,6,1710,NA,NA,S,2014-2015,1,2014,2014
2315001,ONTARIO SD 8C,7,2401,6,1706,NA,NA,S,2017-2018,1,2017,2014
2315001,ONTARIO SD 8C,7,2382,6,1687,NA,NA,S,2019-2020,1,2019,2014
2315001,ONTARIO SD 8C,7,2351,6,1656,NA,NA,S,2018-2019,1,2018,2014
2615002,OPEN SCHOOL INC.,1,60,1,60,NA,A,NA,2015-2016,1,2015,2015
2615002,OPEN SCHOOL INC.,2,139,2,139,NA,A,NA,2016-2017,1,2016,2015
2615002,OPEN SCHOOL INC.,1,130,1,130,0.6429,A,NA,2018-2019,1,2018,2015
2615002,OPEN SCHOOL INC.,1,150,1,150,0.6429,A,NA,2019-2020,1,2019,2015
2615002,OPEN SCHOOL INC.,1,112,1,112,NA,A,NA,2020-2021,1,2020,2015
2615002,OPEN SCHOOL. INC.,2,180,2,180,NA,A,NA,2017-2018,1,2017,2017
2616002,PARKROSE SD 3,6,2953,6,3063,0.4202,A,NA,2020-2021,1,2020,2014
2616002,PARKROSE SD 3,6,3194,5,2280,NA,NA,S,2016-2017,1,2016,2014
2616002,PARKROSE SD 3,6,3137,5,2219,NA,NA,S,2017-2018,1,2017,2014
2616002,PARKROSE SD 3,7,3273,5,2280,NA,NA,S,2015-2016,1,2015,2014
2616002,PARKROSE SD 3,6,2880,4,1541,NA,NA,S,2014-2015,1,2014,2014
2616002,PARKROSE SD 3,6,3096,3,1447,NA,NA,S,2019-2020,1,2019,2014
2616002,PARKROSE SD 3,6,3094,3,1439,NA,NA,S,2018-2019,1,2018,2014
3016001,PENDLETON SD 16,6,2767,4,1532,0.4954,NA,S,2020-2021,1,2020,2020
1016002,PHOENIX SCHOOL OF ROSEBURG,1,184,1,184,0.4578,A,NA,2019-2020,1,2019,2019
1016002,PHOENIX SCHOOL OF ROSEBURG,1,184,1,166,0.4578,A,NA,2020-2021,1,2020,2019
1516001,PHOENIX-TALENT SD 4,6,2383,6,2535,0.4848,A,NA,2020-2021,1,2020,2015
1516001,PHOENIX-TALENT SD 4,6,2539,5,1912,NA,NA,S,2019-2020,1,2019,2015
1516001,PHOENIX-TALENT SD 4,6,2569,3,1278,NA,NA,S,2018-2019,1,2018,2015
1516001,PHOENIX-TALENT SD 4,6,2582,3,1277,NA,NA,S,2017-2018,1,2017,2015
1516001,PHOENIX-TALENT SD 4,6,2645,3,1289,NA,NA,S,2016-2017,1,2016,2015
1516001,PHOENIX-TALENT SD 4,6,2671,3,1289,NA,NA,S,2015-2016,1,2015,2015
3016002,PILOT ROCK SD 2,2,280,2,314,0.4108,A,NA,2020-2021,1,2020,2018
3016002,PILOT ROCK SD 2,2,351,1,186,NA,NA,S,2018-2019,1,2018,2018
3016002,PILOT ROCK SD 2,2,371,1,165,NA,NA,S,2019-2020,1,2019,2018
816001,PORT ORFORD-LANGLOIS SD 2CJ,2,194,2,221,0.4525,A,NA,2020-2021,1,2020,2020
2616010,PORTLAND OIC,3,289,2,289,0.6471,NA,S,2014-2015,1,2014,2014
2616010,PORTLAND OIC,3,310,3,310,NA,A,NA,2015-2016,1,2015,2014
2616010,PORTLAND OIC,4,310,3,310,NA,NA,S,2016-2017,1,2016,2014
2616010,PORTLAND OIC,4,497,4,497,NA,A,NA,2017-2018,1,2017,2014
2616010,PORTLAND OIC,4,454,4,454,NA,A,NA,2018-2019,1,2018,2014
2616010,PORTLAND OIC,5,435,5,435,NA,A,NA,2020-2021,1,2020,2014
2616010,PORTLAND OIC,4,326,3,248,NA,NA,S,2019-2020,1,2019,2014
2616011,PORTLAND SD 1J,91,43903,50,21112,NA,NA,S,2020-2021,1,2020,2014
2616011,PORTLAND SD 1J,83,43430,25,11882,NA,NA,S,2014-2015,1,2014,2014
2616011,PORTLAND SD 1J,84,44246,25,11882,NA,NA,S,2015-2016,1,2015,2014
2616011,PORTLAND SD 1J,85,44801,25,11377,NA,NA,S,2016-2017,1,2016,2014
2616011,PORTLAND SD 1J,85,45583,13,5339,NA,NA,S,2017-2018,1,2017,2014
2616011,PORTLAND SD 1J,84,45743,14,5171,NA,NA,S,2018-2019,1,2018,2014
2616011,PORTLAND SD 1J,86,45963,14,4824,NA,NA,S,2019-2020,1,2019,2014
1516002,PROSPECT SD 59,1,198,1,225,0.5822,A,NA,2020-2021,1,2020,2014
1516002,PROSPECT SD 59,1,228,1,228,0.6332,A,NA,2017-2018,1,2017,2014
1516002,PROSPECT SD 59,1,222,1,222,0.5822,A,NA,2018-2019,1,2018,2014
1516002,PROSPECT SD 59,1,212,1,212,0.5822,A,NA,2019-2020,1,2019,2014
1516002,PROSPECT SD 59,1,232,1,229,0.6332,A,NA,2015-2016,1,2015,2014
1516002,PROSPECT SD 59,1,233,1,229,0.6332,A,NA,2016-2017,1,2016,2014
1516002,PROSPECT SD 59,1,243,1,229,0.6332,A,NA,2014-2015,1,2014,2014
918002,REDMOND SD 2J,15,6386,5,2211,NA,NA,S,2020-2021,1,2020,2014
918002,REDMOND SD 2J,13,6429,4,1792,NA,NA,S,2015-2016,1,2015,2014
918002,REDMOND SD 2J,13,6444,4,1792,NA,NA,S,2014-2015,1,2014,2014
918002,REDMOND SD 2J,15,7269,3,1375,NA,NA,S,2016-2017,1,2016,2014
918002,REDMOND SD 2J,15,7526,3,1158,NA,NA,S,2017-2018,1,2017,2014
918002,REDMOND SD 2J,15,7562,1,372,NA,NA,S,2018-2019,1,2018,2014
918002,REDMOND SD 2J,15,7483,1,333,NA,NA,S,2019-2020,1,2019,2014
1018001,REEDSPORT SD 105,2,256,2,648,NA,A,NA,2020-2021,1,2020,2014
1018001,REEDSPORT SD 105,2,271,2,585,0.5231,A,NA,2014-2015,1,2014,2014
1018001,REEDSPORT SD 105,2,296,2,585,0.5231,A,NA,2015-2016,1,2015,2014
1018001,REEDSPORT SD 105,2,356,2,585,0.5231,A,NA,2016-2017,1,2016,2014
1018001,REEDSPORT SD 105,2,648,2,648,NA,A,NA,2017-2018,1,2017,2014
1018001,REEDSPORT SD 105,2,647,2,647,NA,A,NA,2018-2019,1,2018,2014
1018001,REEDSPORT SD 105,2,662,2,662,NA,A,NA,2019-2020,1,2019,2014
2618002,REYNOLDS SD 7,23,10083,16,9126,NA,NA,S,2020-2021,1,2020,2014
2618002,REYNOLDS SD 7,22,10969,12,5974,NA,NA,S,2016-2017,1,2016,2014
2618002,REYNOLDS SD 7,23,11070,12,5974,NA,NA,S,2015-2016,1,2015,2014
2618002,REYNOLDS SD 7,20,11166,12,5974,NA,NA,S,2014-2015,1,2014,2014
2618002,REYNOLDS SD 7,22,10479,12,5465,NA,NA,S,2019-2020,1,2019,2014
2618002,REYNOLDS SD 7,22,10577,12,5440,NA,NA,S,2018-2019,1,2018,2014
2618002,REYNOLDS SD 7,22,11152,12,5734,NA,NA,S,2017-2018,1,2017,2014
2419004,SALEM-KEIZER SD 24J,77,39414,72,39892,NA,NA,S,2020-2021,1,2020,2014
2419004,SALEM-KEIZER SD 24J,73,40709,28,16996,NA,NA,S,2015-2016,1,2015,2014
2419004,SALEM-KEIZER SD 24J,74,41311,28,16996,NA,NA,S,2016-2017,1,2016,2014
2419004,SALEM-KEIZER SD 24J,70,40309,26,13397,NA,NA,S,2014-2015,1,2014,2014
2419004,SALEM/KEIZER SD 24J,77,41870,40,19564,NA,NA,S,2019-2020,1,2019,2017
2419004,SALEM/KEIZER SD 24J,73,41961,31,17285,NA,NA,S,2017-2018,1,2017,2017
2419004,SALEM/KEIZER SD 24J,76,41731,32,17025,NA,NA,S,2018-2019,1,2018,2017
2219006,SAND RIDGE CHARTER SCHOOL,3,142,1,150,NA,NA,S,2016-2017,1,2016,2016
2219006,SAND RIDGE CHARTER SCHOOL,3,556,1,198,NA,NA,S,2019-2020,1,2019,2016
2219006,SAND RIDGE CHARTER SCHOOL,3,506,1,169,NA,NA,S,2018-2019,1,2018,2016
2219006,SAND RIDGE CHARTER SCHOOL,3,489,1,152,NA,NA,S,2017-2018,1,2017,2016
2619004,SERENDIPITY CENTER,1,110,1,110,0.6091,A,NA,2015-2016,1,2015,2015
2619004,SERENDIPITY CENTER,1,110,1,110,NA,A,NA,2016-2017,1,2016,2015
2619004,SERENDIPITY CENTER,1,110,1,110,0.6091,A,NA,2017-2018,1,2017,2015
2619004,SERENDIPITY CENTER,1,105,1,105,0.6091,A,NA,2018-2019,1,2018,2015
2619004,SERENDIPITY CENTER,1,110,1,110,0.4298,A,NA,2019-2020,1,2019,2015
2619004,SERENDIPITY CENTER,1,114,1,114,0.4298,A,NA,2020-2021,1,2020,2015
3619001,SHERIDAN SD 48J,3,861,2,841,NA,NA,S,2016-2017,1,2016,2015
3619001,SHERIDAN SD 48J,5,1494,4,1406,NA,NA,S,2019-2020,1,2019,2015
3619001,SHERIDAN SD 48J,3,728,2,673,NA,NA,S,2020-2021,1,2020,2015
3619001,SHERIDAN SD 48J,4,917,3,829,NA,NA,S,2015-2016,1,2015,2015
3619001,SHERIDAN SD 48J,3,862,2,775,NA,NA,S,2017-2018,1,2017,2015
3619001,SHERIDAN SD 48J,3,835,2,747,NA,NA,S,2018-2019,1,2018,2015
2019002,SIUSLAW SD 97J,3,1222,3,1406,0.4225,A,NA,2020-2021,1,2020,2020
2019006,SOUTH LANE SD 45J3,8,2597,2,187,NA,NA,S,2019-2020,1,2019,2014
2019006,SOUTH LANE SD 45J3,8,2583,2,181,NA,NA,S,2017-2018,1,2017,2014
2019006,SOUTH LANE SD 45J3,7,2341,2,162,NA,NA,S,2020-2021,1,2020,2014
2019006,SOUTH LANE SD 45J3,8,2600,2,178,NA,NA,S,2018-2019,1,2018,2014
2019006,SOUTH LANE SD 45J3,8,2572,2,176,NA,NA,S,2016-2017,1,2016,2014
2019006,SOUTH LANE SD 45J3,8,2583,2,176,NA,NA,S,2015-2016,1,2015,2014
2019006,SOUTH LANE SD 45J3,8,2651,1,91,NA,NA,S,2014-2015,1,2014,2014
1019001,SOUTH UMPQUA SD 19,5,1382,5,1489,0.4527,A,NA,2020-2021,1,2020,2020
3319001,SOUTH WASCO COUNTY SD 1,2,217,2,249,0.4819,A,NA,2014-2015,1,2014,2014
3319001,SOUTH WASCO COUNTY SD 1,2,229,2,249,0.4819,A,NA,2015-2016,1,2015,2014
3319001,SOUTH WASCO COUNTY SD 1,2,247,2,249,0.4819,A,NA,2016-2017,1,2016,2014
3319001,SOUTH WASCO COUNTY SD 1,2,236,2,236,0.4819,A,NA,2017-2018,1,2017,2014
3319001,SOUTH WASCO COUNTY SD 1,2,236,2,236,0.4213,A,NA,2018-2019,1,2018,2014
3319001,SOUTH WASCO COUNTY SD 1,2,238,2,238,0.4213,A,NA,2019-2020,1,2019,2014
3319001,SOUTH WASCO COUNTY SD 1,2,237,2,235,0.4213,A,NA,2020-2021,1,2020,2014
2019007,SPRINGFIELD SD 19,23,8433,23,10101,0.4386,A,NA,2020-2021,1,2020,2015
2019007,SPRINGFIELD SD 19,23,10436,7,3151,NA,NA,S,2018-2019,1,2018,2015
2019007,SPRINGFIELD SD 19,23,10621,7,3129,NA,NA,S,2017-2018,1,2017,2015
2019007,SPRINGFIELD SD 19,23,10788,7,2999,NA,NA,S,2015-2016,1,2015,2015
2019007,SPRINGFIELD SD 19,23,10818,7,2999,NA,NA,S,2016-2017,1,2016,2015
2219004,SWEET HOME SD 55,6,2000,6,2129,0.4237,A,NA,2020-2021,1,2020,2014
2219004,SWEET HOME SD 55,6,1733,4,1137,NA,NA,S,2018-2019,1,2018,2014
2219004,SWEET HOME SD 55,6,2132,4,1117,NA,NA,S,2019-2020,1,2019,2014
2219004,SWEET HOME SD 55,6,2126,4,1106,NA,NA,S,2017-2018,1,2017,2014
2219004,SWEET HOME SD 55,6,2165,4,1006,NA,NA,S,2014-2015,1,2014,2014
2219004,SWEET HOME SD 55,6,2176,4,1006,NA,NA,S,2016-2017,1,2016,2014
2219004,SWEET HOME SD 55,6,2194,4,1006,NA,NA,S,2015-2016,1,2015,2014
1720001,THREE RIVERS/JOSEPHINE COUNTY SD,14,4044,13,4443,0.4684,NA,S,2020-2021,1,2020,2014
1720001,THREE RIVERS/JOSEPHINE COUNTY SD,13,4309,10,3222,NA,NA,S,2019-2020,1,2019,2014
1720001,THREE RIVERS/JOSEPHINE COUNTY SD,13,4354,9,2877,NA,NA,S,2018-2019,1,2018,2014
1720001,THREE RIVERS/JOSEPHINE COUNTY SD,13,4420,9,2870,NA,NA,S,2017-2018,1,2017,2014
1720001,THREE RIVERS/JOSEPHINE COUNTY SD,13,4497,9,2817,NA,NA,S,2015-2016,1,2015,2014
1720001,THREE RIVERS/JOSEPHINE COUNTY SD,13,4524,9,2817,NA,NA,S,2016-2017,1,2016,2014
1720001,THREE RIVERS/JOSEPHINE COUNTY SD,13,4599,7,2122,NA,NA,S,2014-2015,1,2014,2014
3420001,TIGARD-TUALATIN SD 23J,17,12488,2,744,NA,NA,S,2016-2017,1,2016,2014
3420001,TIGARD-TUALATIN SD 23J,17,12497,2,732,NA,NA,S,2015-2016,1,2015,2014
3420001,TIGARD-TUALATIN SD 23J,17,12508,2,722,NA,NA,S,2017-2018,1,2017,2014
3420001,TIGARD-TUALATIN SD 23J,17,12526,2,723,NA,NA,S,2018-2019,1,2018,2014
3420001,TIGARD-TUALATIN SD 23J,16,12250,1,623,NA,NA,S,2014-2015,1,2014,2014
2920002,TILLAMOOK SD 9,6,2076,4,1237,NA,NA,S,2020-2021,1,2020,2018
2920002,TILLAMOOK SD 9,6,2258,1,78,NA,NA,S,2019-2020,1,2019,2018
2920002,TILLAMOOK SD 9,6,2261,1,71,NA,NA,S,2018-2019,1,2018,2018
3021002,UMATILLA SD 6R,3,1343,3,1343,0.6288,A,NA,2017-2018,1,2017,2014
3021002,UMATILLA SD 6R,3,1365,3,1365,0.6077,A,NA,2018-2019,1,2018,2014
3021002,UMATILLA SD 6R,3,1379,3,1379,0.6077,A,NA,2019-2020,1,2019,2014
3021002,UMATILLA SD 6R,4,1356,3,1355,0.6288,NA,S,2016-2017,1,2016,2014
3021002,UMATILLA SD 6R,4,1372,4,1355,0.6288,A,NA,2015-2016,1,2015,2014
3021002,UMATILLA SD 6R,3,1382,3,1355,0.6288,A,NA,2014-2015,1,2014,2014
3021002,UMATILLA SD 6R,3,1440,3,1351,0.6077,A,NA,2020-2021,1,2020,2014
2322001,VALE SD 84,5,909,5,962,0.4023,A,NA,2015-2016,1,2015,2014
2322001,VALE SD 84,5,923,5,962,0.4023,A,NA,2014-2015,1,2014,2014
2322001,VALE SD 84,6,933,5,962,0.4023,NA,S,2016-2017,1,2016,2014
2322001,VALE SD 84,5,955,5,955,0.4023,A,NA,2017-2018,1,2017,2014
2322001,VALE SD 84,5,907,5,907,0.3509,A,NA,2018-2019,1,2018,2014
2322001,VALE SD 84,5,786,4,668,NA,NA,S,2020-2021,1,2020,2014
2322001,VALE SD 84,5,944,4,681,NA,NA,S,2019-2020,1,2019,2014
2023009,WELLSPRINGS FRIENDS SCHOOL,1,50,1,50,0.42,A,NA,2015-2016,1,2015,2015
3623002,WILLAMINA SD 30J,3,891,3,891,0.5634,A,NA,2017-2018,1,2017,2014
3623002,WILLAMINA SD 30J,3,880,3,880,0.5634,A,NA,2018-2019,1,2018,2014
3623002,WILLAMINA SD 30J,3,845,3,845,0.5634,A,NA,2019-2020,1,2019,2014
3623002,WILLAMINA SD 30J,3,844,3,840,0.4821,A,NA,2020-2021,1,2020,2014
3623002,WILLAMINA SD 30J,3,835,3,785,0.6051,A,NA,2014-2015,1,2014,2014
3623002,WILLAMINA SD 30J,3,854,3,785,0.6051,A,NA,2015-2016,1,2015,2014
3623002,WILLAMINA SD 30J,3,905,3,785,0.6051,A,NA,2016-2017,1,2016,2014
1023001,WINSTON-DILLARD SD 116,6,1363,6,1440,0.4146,A,NA,2020-2021,1,2020,2019
1023001,WINSTON-DILLARD SD 116,6,1456,6,1456,0.4146,A,NA,2019-2020,1,2019,2019
2423006,WOODBURN SD 103,14,5342,14,5546,NA,A,NA,2020-2021,1,2020,2014
2423006,WOODBURN SD 103,13,5604,13,5604,NA,A,NA,2017-2018,1,2017,2014
2423006,WOODBURN SD 103,13,5535,13,5535,NA,A,NA,2018-2019,1,2018,2014
2423006,WOODBURN SD 103,13,18136,13,18136,NA,A,NA,2019-2020,1,2019,2014
2423006,WOODBURN SD 103,13,5631,14,5597,NA,NA,S,2016-2017,1,2016,2014
2423006,WOODBURN SD 103,14,5703,14,5620,NA,A,NA,2015-2016,1,2015,2014
2423006,WOODBURN SD 103,14,5732,14,5620,NA,A,NA,2014-2015,1,2014,2014
1025001,YONCALLA SD 32,2,248,2,251,0.4263,A,NA,2020-2021,1,2020,2019
1025001,YONCALLA SD 32,2,279,2,279,0.4263,A,NA,2019-2020,1,2019,2019